0,1
369,67397
124,947903
613,144519
247,451637
1711,30055
2,249890
4336,80
918,81927
186,420138
2627,23247
308,158592
1040,43722
63,735994
155,5008
4916,13272
33,553739
3878,26838
704,55542
6197,11952
94,132970
1360,16727
140,581733
262,110158
18,978251
1971,1570
506,175324
201,289941
811,34086
79,340899
414,188483
5785,6041
1147,86364
3222,14932
8837,1062
48,47702
964,111287
231,468855
1696,8864
353,227276
4015,18161
109,853095
597,98179
2818,32234
132,161940
1231,59517
7578,4037
10,621677
437,20701
2146,41582
71,332578
3489,6865
895,63412
163,379370
285,142414
1017,25663
41,689587
4862,10422
224,77993
2299,20227
7914,5900
102,495155
1566,39736
391,269054
147,809368
636,498
269,356998
25,201890
3138,36214
330,51608
6678,5324
86,937652
575,129086
1887,12793
178,243703
788,102899
56,409712
2497,11297
483,185051
1215,68808
117,30552
5011,2101
128,537842
250,299464
3668,24659
6,847890
494,44964
189,121172
1288,6707
67,579537
4462,13769
403,91044
2112,28249
647,171723
1746,56954
6873,9248
37,273994
952,18697
220,363242
2661,37072
342,210826
1074,107336
98,758913
3317,2982
144,72788
754,138479
21,452964
1486,34582
449,253147
4111,7452
693,83660
2768,16189
83,151534
8383,1405
1395,48958
174,605733
296,10753
52,921437
540,197920
235,313959
3653,29551
845,60949
113,405103
5972,1354
380,124997
1112,22574
136,677657
14,98985
2394,4182
197,483377
1662,64844
319,295754
75,793594
563,26181
166,192009
5538,11854
1265,75191
2974,17425
44,649798
472,41050
716,118680
1814,2387
105,232230
4302,23624
884,87181
151,434994
2593,33531
273,165065
1006,53040
29,703883
7353,5667
212,14202
2287,47429
90,523322
3844,8613
670,66125
304,372938
60,147820
1463,31984
4637,3364
365,79571
121,989341
2074,21806
609,157151
1832,42280
123,262064
733,8139
0,345943
428,207855
5799,15201
1160,92933
3235,25565
62,54152
6409,9647
885,134780
153,480002
1618,20011
275,237102
31,876181
519,108920
2900,298
214,174052
1313,70105
92,594415
382,35839
138,904000
2091,50776
626,187493
5143,4594
16,302567
3434,13485
9720,2816
931,46255
199,390105
321,114689
1053,12164
77,700321
4807,16889
168,97365
2244,31250
46,509836
1511,58075
7309,1681
718,23985
107,217096
3060,6203
130,633851
252,62140
8,944627
496,141023
1900,27474
191,258383
4220,9031
802,75688
69,428683
2511,17922
405,154639
8706,4510
1137,38346
161,731076
39,3798
222,548880
344,318275
100,822009
588,50176
6249,7093
145,127654
1244,15628
23,590693
451,106367
2160,10192
84,284574
908,29126
176,335939
298,197291
5669,675
1030,80998
54,770527
3411,22318
237,42792
847,119915
115,464069
1580,5450
371,225166
4033,12394
126,860130
615,94241
248,438091
2690,27331
4,170906
1408,56035
187,620584
309,17322
65,889648
2018,40540
554,212770
157,329215
3575,2284
767,71966
35,375426
462,137047
1194,33151
4735,6478
96,85429
2339,13997
7954,127
142,502185
1606,46766
264,265331
996,112000
20,804730
508,9306
203,200740
3010,32676
81,660934
416,59959
6764,3108
660,123719
1759,21296
50,239708
966,102381
233,417204
2675,7511
355,179741
1088,63600
111,727371
134,24785
2209,53896
4895,10915
12,533091
1477,77114
3857,19348
683,38858
317,391853
73,117685
1385,934
165,575999
4559,22730
287,90301
42,972179
1996,36650
531,167880
1935,52044
7061,4389
226,281481
836,12924
103,361194
2545,46151
393,218262
1126,103493
149,753089
3201,11434
27,69352
210,449071
1675,30689
332,247729
3994,2543
88,887317
577,78294
2865,23729
180,160446
1278,44085
58,614120
485,5829
5246,14415
119,311778
3537,28742
856,57447
124,401297
5983,8369
246,133655
978,19190
1,674426
490,235663
185,107481
2260,3534
62,492229
1527,73391
398,291803
154,802396
642,35134
276,338645
32,186229
5403,7903
1436,82739
3145,15253
9126,1992
337,48022
93,955048
581,113713
1848,9816
139,228381
4167,19724
749,95931
17,443897
2458,29986
444,163960
1176,61384
7524,418
78,23060
2367,43483
169,522526
291,330381
3709,4821
47,828171
536,65025
230,142960
1329,26819
108,560122
4503,12340
375,74249
2084,16483
619,153200
8066,7338
1718,40108
9,271018
925,1445
192,354440
314,204310
1047,87611
70,743303
3335,33960
162,53469
6509,6373
772,130931
40,474628
1504,14637
467,244480
10232,1225
